,Date,Ticker,Title,Direction,Direction_Num,Market Cap,Editor-Picks,Author-Followers,Initial-Stock-Price,Current-Stock-Price10,Current-Stock-Price30,Current-Stock-Price90,sp500-Price10,sp500-Price30,sp500-Price90,stock_change10,stock_change30,stock_change90,sp500_change10,sp500_change30,sp500_change90,difference10,difference30,difference90,status10,status30,status90
159,"Jan. 12, 2014  6:13 AM ET",SPY,This Low-Cost ETF Outperforms The S&amp;P 500 And The Dow,NA,4.00,54259926751.00,2.00,1092.00,178.21,180.77,178.49,178.82,1844.86,1819.75,1872.18,1.44,0.16,0.34,1.41,0.03,2.91,0.03,0.13,-2.57,0.00,0.00,0.00
160,"Jan. 12, 2014  5:58 AM ET",MCD,McDonald&#x27;s - Fair Valuation As Minimum Wage Debate Could Create Worries,NA,4.00,92603783758.00,2.00,2656.00,90.88,90.93,91.37,95.96,1844.86,1819.75,1872.18,0.06,0.54,5.59,1.41,0.03,2.91,-1.36,0.51,2.68,0.00,0.00,0.00
161,"Jan. 12, 2014  5:47 AM ET",CIMT,Cimatron: A CAN SLIM Slugger With 3D Printing Plans For 2014,NA,4.00,0.00,2.00,743.00,10.03,10.12,8.71,6.68,1844.86,1819.75,1872.18,0.90,-13.16,-33.40,1.41,0.03,2.91,-0.51,-13.19,-36.31,0.00,0.00,0.00
162,"Jan. 12, 2014  5:34 AM ET",CYTK,Thoughts On The Price Surge Of Cytokinetics,NA,4.00,308625638.00,2.00,2527.00,8.95,8.96,8.89,9.23,1844.86,1819.75,1872.18,0.11,-0.67,3.13,1.41,0.03,2.91,-1.30,-0.70,0.22,0.00,0.00,0.00
163,"Jan. 12, 2014  4:50 AM ET",ICPT,Intercept Liver Drug Is A Game Changer For The Biotech Industry,NA,4.00,6369277443.00,2.00,1441.00,364.36,331.81,373.91,266.01,1844.86,1819.75,1872.18,-8.93,2.62,-26.99,1.41,0.03,2.91,-10.34,2.59,-29.90,0.00,0.00,0.00
164,"Jan. 12, 2014  4:35 AM ET",CHK,ModernGraham Valuation Of Chesapeake Energy Corporation,NA,4.00,9177529478.00,2.00,3358.00,23.42,25.26,23.11,24.44,1844.86,1819.75,1872.18,7.86,-1.32,4.36,1.41,0.03,2.91,6.45,-1.35,1.44,1.00,0.00,0.00
165,"Jan. 12, 2014  4:31 AM ET",REX,Rex American Resources: The Bullish Thesis Has Room To Run,NA,4.00,465787462.00,2.00,27.00,39.65,43.03,42.18,59.35,1844.86,1819.75,1872.18,8.52,6.38,49.68,1.41,0.03,2.91,7.11,6.35,46.77,1.00,1.00,1.00
166,"Jan. 12, 2014  4:29 AM ET",CVC,ModernGraham Valuation Of Cablevision Systems Corp,NA,4.00,4897484794.00,2.00,3358.00,16.02,15.70,16.02,15.75,1844.86,1819.75,1872.18,-2.00,0.00,-1.69,1.41,0.03,2.91,-3.41,-0.03,-4.60,0.00,0.00,0.00
167,"Jan. 12, 2014  3:50 AM ET",PAA,Barron&#x27;s: Wrong On MLPs Like Kinder Morgan Energy,NA,4.00,0.00,2.00,1256.00,47.95,48.38,50.80,52.66,1844.86,1819.75,1872.18,0.90,5.94,9.82,1.41,0.03,2.91,-0.51,5.91,6.91,0.00,1.00,1.00
168,"Jan. 13, 2014  7:57 PM ET",HLT,Hilton&#x27;s Quiet Period Expiration Provides Buying Opportunity,NA,4.00,27717191160.00,2.00,8830.00,22.10,22.66,21.89,21.25,1828.46,1819.26,1833.08,2.53,-0.95,-3.85,-0.57,-1.07,-0.32,3.10,0.12,-3.53,0.00,0.00,0.00
169,"Jan. 13, 2014  6:50 PM ET",GM,7 Reasons Why Ford Is My Favorite Long,NA,4.00,64086257565.00,2.00,1256.00,38.34,36.81,34.07,30.86,1828.46,1819.26,1833.08,-3.99,-11.14,-19.51,-0.57,-1.07,-0.32,-3.42,-10.07,-19.19,0.00,0.00,0.00
170,"Jan. 13, 2014  6:28 PM ET",COST,ModernGraham Valuation Of Costco Wholesale Corp,NA,4.00,65679358130.00,2.00,3358.00,110.96,107.69,109.90,107.29,1828.46,1819.26,1833.08,-2.95,-0.96,-3.31,-0.57,-1.07,-0.32,-2.38,0.11,-2.99,0.00,0.00,0.00
171,"Jan. 13, 2014  6:27 PM ET",XSD,Analog Devices: Accumulate Following Some Bearish Catalysts,NA,4.00,17927923459.00,2.00,359.00,61.25,61.67,62.83,65.47,1828.46,1819.26,1833.08,0.69,2.58,6.89,-0.57,-1.07,-0.32,1.25,3.65,7.21,0.00,0.00,1.00
172,"Jan. 13, 2014  6:16 PM ET",PNQI,Priceline: Looking Towards Emerging Markets To Grow,NA,4.00,60133637164.00,2.00,709.00,68.40,68.76,69.25,61.65,1828.46,1819.26,1833.08,0.53,1.24,-9.87,-0.57,-1.07,-0.32,1.09,2.31,-9.55,0.00,0.00,0.00
173,"Jan. 13, 2014  6:11 PM ET",LNG,Cheniere Energy Vs. Cheniere Energy Partners: A Unique Risk For Cheniere Energy Partners,NA,4.00,9924479914.00,2.00,34.00,46.27,44.88,45.84,55.95,1828.46,1819.26,1833.08,-3.00,-0.93,20.92,-0.57,-1.07,-0.32,-2.44,0.14,21.24,0.00,0.00,1.00
174,"Jan. 13, 2014  6:07 PM ET",T,Is It Time To Purchase High Yielding AT&amp;T?,NA,4.00,170030000000.00,2.00,2056.00,31.75,32.05,31.24,33.82,1828.46,1819.26,1833.08,0.94,-1.61,6.52,-0.57,-1.07,-0.32,1.51,-0.54,6.84,0.00,0.00,1.00
175,"Jan. 13, 2014  5:39 PM ET",XLF,"Is It Time To Withdraw From JPMorgan, Before The Bank Reports Earnings?",NA,4.00,227427000000.00,2.00,2056.00,21.51,21.24,21.17,21.00,1828.46,1819.26,1833.08,-1.26,-1.58,-2.37,-0.57,-1.07,-0.32,-0.69,-0.51,-2.06,0.00,0.00,0.00
176,"Jan. 13, 2014  4:44 PM ET",VZ,Kinder Morgan Energy Partners: Why Barron&#x27;s Is Flatly Wrong Regarding MLPs,NA,4.00,0.00,2.00,3312.00,45.02,45.77,45.30,45.51,1828.46,1819.26,1833.08,1.67,0.62,1.09,-0.57,-1.07,-0.32,2.23,1.69,1.40,0.00,0.00,0.00
